Key,LOC,NOF,NOP,Entropy
SPARK-12165,447,9,4,0.9541051250318663
SPARK-36315,445,19,8,0.8365571212363847
SPARK-20586,442,8,7,0.7728946658280157
SPARK-18118,441,3,3,0
SPARK-9393,440,5,5,0.8699155297736257
SPARK-7713,435,5,3,0.9130293721553148
SPARK-12189,434,9,4,0.9627181691398033
SPARK-21350,433,4,4,0
SPARK-26615,432,6,6,0.8194483718728034
SPARK-21055,431,3,3,0.9182958340544896
SPARK-31859,430,18,8,0.5916727785823274
SPARK-31861,430,18,8,0.5916727785823274
SPARK-9407,426,11,5,0.9484503122074789
SPARK-22395,422,12,6,0.9275917689117117
SPARK-17732,420,8,7,0.9552956860169772
SPARK-16711,417,5,5,0.8868595071429147
SPARK-3377,416,30,17,0.9190988748332132
SPARK-14602,414,12,4,0.8918418949441114
SPARK-1143,413,3,2,0
SPARK-14458,411,8,5,0.8380529426231215
SPARK-15615,410,23,12,0.9121213303293628
SPARK-9026,409,8,6,0.5032583347756457
SPARK-25567,408,3,3,0
SPARK-3914,407,12,9,0.9252516647501712
SPARK-30555,407,3,3,0.7732266742876346
SPARK-28206,402,24,11,0.8708190349036514
SPARK-4519,401,5,3,0.875
SPARK-27021,401,20,14,0.6852695843977522
SPARK-6066,401,15,11,0.7857629727638624
SPARK-4518,401,5,3,0.875
SPARK-14940,398,13,7,0.9584395362651481
SPARK-14732,397,8,8,0.8649735207179271
SPARK-10063,396,18,11,0.855505825635011
SPARK-21490,395,7,4,0
SPARK-31863,394,18,8,0.8112781244591328
SPARK-7003,393,8,6,1
SPARK-13319,389,4,4,0.4394969869215134
SPARK-31170,389,6,5,0.9602297178607611
SPARK-17491,388,9,7,0.7743974703476992
SPARK-1600,387,7,4,0.9111886696810589
SPARK-3904,386,8,6,0.8805041296869981
SPARK-13476,381,8,6,0.8865878395534174
SPARK-30612,380,13,12,0.7852831760642618
SPARK-11486,379,9,7,0.9675790359315455
SPARK-9116,377,9,5,0.8797748738762962
SPARK-35176,374,36,14,0.9640656206765508
SPARK-4092,372,11,9,0.928324965322813
SPARK-18699,371,9,6,0.9569111122107062
SPARK-8372,369,3,3,0.8935711016541907
SPARK-33592,369,9,5,0.8359750080865053
SPARK-11673,367,28,15,0.8937689980588089
SPARK-35581,366,34,19,0.8304596808348187
SPARK-15711,363,7,6,0.855057635253987
SPARK-6250,361,7,7,0.9944009877868264
SPARK-26824,361,11,7,0.9004869239372724
SPARK-3412,361,16,6,0.7086213937896008
SPARK-810,360,3,2,0.9182958340544896
SPARK-6951,360,6,5,1
SPARK-26323,359,8,7,0.9459577203309796
SPARK-17822,357,9,4,0.9697238998682473
SPARK-24734,353,16,7,0.8093336232517698
SPARK-33641,352,21,13,0.7504353454919593
SPARK-13379,352,3,3,0.9182958340544896
SPARK-17284,350,16,10,0.918441229761891
SPARK-17410,350,16,10,0.9184412297618907
SPARK-22238,349,18,9,0.9327240245287737
SPARK-13812,347,21,5,0.7798033598023318
SPARK-25535,346,6,5,0
SPARK-15954,346,3,3,0.8960382325345575
SPARK-15815,346,7,4,0
SPARK-22148,346,7,4,0
SPARK-27070,343,3,3,0
SPARK-32251,343,3,3,0
SPARK-5817,342,17,12,0.8931256329052523
SPARK-3154,341,5,3,0.9999999999999999
SPARK-4236,341,9,6,0.5138306164886156
SPARK-3627,338,5,4,0.8674556413455146
SPARK-23433,336,4,3,0.9545258142257613
SPARK-9419,336,10,10,0.9273720562802086
SPARK-30284,336,13,10,0.7676585048898129
SPARK-12939,334,13,9,0.9126412087193536
SPARK-33183,333,9,7,0.6081134701556298
SPARK-36463,333,4,4,0.7499999999999999
SPARK-11734,332,17,8,0.8671024274699906
SPARK-32332,330,11,5,0.9629610647945144
SPARK-23715,329,9,9,0.8006512154578233
SPARK-11018,328,13,6,0.9742336858740954
SPARK-10524,327,5,5,0.9602297178607611
SPARK-2177,325,10,6,0.9563524360919585
SPARK-22143,325,6,3,0.9417623012206598
SPARK-2294,323,5,3,0.9877812438119246
SPARK-34748,322,10,7,0.8868595071429147
SPARK-8804,322,9,8,0.7476762626247397
SPARK-1022,322,3,3,0
SPARK-29145,320,5,4,0.35911389320911485
SPARK-17502,320,12,8,0.8739035128208427
SPARK-2157,319,20,14,0.7991285677322536
SPARK-6014,319,10,8,0.7251787596747343
SPARK-24341,315,15,9,0.8581230748026497
SPARK-22676,315,7,6,0.7219280948873623
SPARK-14109,314,5,4,0.9528195311147831
SPARK-2784,314,21,14,0.8427780153704241
SPARK-32516,314,10,8,0.6794076548172907
SPARK-34636,313,35,22,0.8423884572026303
SPARK-18360,313,3,3,0.5435644431995964
SPARK-4022,312,18,12,0.885891110799899
SPARK-20543,311,20,2,0.3973725542073573
SPARK-30843,311,6,5,0.9620871761502205
SPARK-10827,310,3,3,0
SPARK-10227,309,61,28,0.8842778315584143
SPARK-27991,308,7,7,0.9138646883853215
SPARK-29157,307,5,3,0.858672711073255
SPARK-19548,307,12,4,0.9463946303571861
SPARK-35011,306,6,6,0.9770455804590026
SPARK-26071,306,10,5,0.8250112108241772
SPARK-15277,306,7,6,0.9376610208289223
SPARK-25772,305,5,4,0
SPARK-15646,303,12,8,0.9276378620099752
SPARK-18761,302,4,4,0
SPARK-4719,300,11,3,0.8420918598895943
SPARK-22062,299,19,10,0.799974060826192
SPARK-34626,297,32,20,0.8367135990794823
SPARK-19539,297,11,9,0.8657462604404845
SPARK-25769,297,32,20,0.8367135990794823
SPARK-2523,296,4,4,0.9182958340544896
SPARK-14676,296,28,24,0.8735278721743631
SPARK-10777,296,7,5,0.9007825405248172
SPARK-15914,293,3,3,0.997294381646235
SPARK-18291,293,3,3,0.5916727785823274
SPARK-30129,292,5,4,0
SPARK-29438,292,11,5,0
SPARK-31831,291,7,6,0.6695919455357793
SPARK-5873,290,13,9,0.8285074295305479
SPARK-22577,289,15,9,0.8647437743328164
SPARK-34300,289,3,3,0.7219280948873623
SPARK-24050,289,4,4,0.9709505944546686
SPARK-3194,289,36,14,0.9061094646408874
SPARK-9592,288,8,6,0.833132686314051
SPARK-16943,287,4,4,0.9938341602420436
SPARK-33432,287,16,13,0.8946119294243741
SPARK-29768,287,8,7,0.9455305560363263
SPARK-17353,287,4,4,0.9938341602420439
SPARK-16942,287,4,4,0.9938341602420436
SPARK-7741,286,10,7,0.7677259819147092
SPARK-11678,286,11,9,0.9433628060243607
SPARK-9479,286,13,9,0.9097241859364018
SPARK-33888,286,14,6,0.8751821323026255
SPARK-3791,285,8,7,0.7693353567823816
SPARK-18752,284,12,8,0.9373184748966283
SPARK-2624,284,3,3,0.5435644431995964
SPARK-16388,284,5,5,0.9256173798717304
SPARK-32079,284,18,8,0.8739777710653925
SPARK-24589,284,6,5,0.8112781244591328
SPARK-18510,283,7,7,0.8475645507428944
SPARK-11274,282,6,5,0.9922150607220181
SPARK-3721,282,9,5,0.857783200023423
SPARK-19348,281,12,3,0.9240434372045377
SPARK-17916,281,9,6,0.8923428328688724
SPARK-20680,281,16,15,0.9238599484955687
SPARK-20918,280,14,11,0.9280146582187818
SPARK-4250,280,5,5,0.8688393763277775
SPARK-9340,279,5,3,0.9999999999999999
SPARK-29920,278,5,5,0.9854585676379723
SPARK-35290,277,4,4,0.9852281360342515
SPARK-11016,276,6,6,1
SPARK-35259,276,6,6,0.9602297178607611
SPARK-32617,276,2,2,0
SPARK-6077,275,9,6,0.9463946303571861
SPARK-13720,275,7,6,0.7426297801883898
SPARK-2209,274,2,2,0
SPARK-8432,274,11,9,0.9015281063479557
SPARK-4242,272,13,10,0.828356918008124
SPARK-3962,272,10,10,0
SPARK-25680,272,14,11,0.9182958340544896
SPARK-18913,271,9,8,0.8205246039394256
SPARK-18899,271,9,8,0.8205246039394256
SPARK-13929,271,8,8,0.9136553036163743
SPARK-8305,270,15,8,0.8696335882452686
SPARK-1798,270,24,18,0.8424198944839344
SPARK-7616,267,13,9,0.9112690409704811
SPARK-7763,267,13,9,0.911269040970481
SPARK-18609,267,7,6,0.9248008763572906
SPARK-18841,267,7,6,0.9248008763572906
SPARK-1772,267,20,11,0.8036007486322463
SPARK-20209,266,12,6,0.9304911754108447
SPARK-4493,266,5,4,0.8636983367872396
SPARK-18546,264,11,10,0
SPARK-4687,264,5,5,0.6551842376140633
SPARK-2974,263,15,10,0.953214138168116
SPARK-32056,261,9,8,0.6454645236511274
SPARK-25313,261,13,7,0.8662013152469794
SPARK-6145,259,10,9,0.8361817118861654
SPARK-4525,258,3,3,0.5435644431995964
SPARK-25161,256,6,4,0.9224177393686548
SPARK-4943,256,18,10,0.916263989750062
SPARK-11883,255,12,9,0.8907066057786109
SPARK-31312,255,4,4,0
SPARK-19309,255,8,5,0.946265187221801
SPARK-19058,254,8,5,0.9270494671591581
SPARK-22548,254,4,4,0.8112781244591328
SPARK-10004,253,13,9,0.5645852186366894
SPARK-16792,253,5,5,0.7219280948873623
SPARK-3414,252,16,9,0.8671419454351201
SPARK-38132,252,7,5,0.7642045065086203
SPARK-27387,252,8,3,0.8649735207179271
SPARK-7835,252,4,3,0.3237837983572334
SPARK-3741,252,3,2,0.8812908992306927
SPARK-17528,251,20,15,0.9549080284177106
SPARK-15357,251,17,14,0.7930023229917198
SPARK-13827,250,4,4,0.8003563220839836
SPARK-20774,249,4,4,0.3095434291503252
SPARK-27036,249,4,4,0.3095434291503252
SPARK-19707,249,12,12,0.8856801692983997
SPARK-27248,249,6,5,0.7896900821428474
SPARK-37793,248,3,3,0
SPARK-12583,248,8,7,0.787652023884557
SPARK-19873,247,8,6,0.8696170690354139
SPARK-4318,247,5,4,0.8070027314271101
SPARK-38916,246,4,3,0
SPARK-30341,246,8,6,0.8469849480513699
SPARK-19994,245,3,3,1
SPARK-31894,245,10,6,0.35335933502142136
SPARK-32901,245,6,4,0.9602297178607611
SPARK-23599,245,9,8,0.9122066329329885
SPARK-14967,243,13,9,0.7920375677637226
SPARK-20399,243,10,8,0.9226413536978136
SPARK-26211,243,3,3,0
SPARK-10381,243,18,14,0.8539503392101069
SPARK-17647,242,5,5,0
SPARK-11681,241,3,3,1
SPARK-35898,241,5,5,0
SPARK-25431,241,4,2,0.7854070171411122
SPARK-25116,241,11,4,0.96929346595908
SPARK-30799,241,9,9,0.7966403787993627
SPARK-30001,240,6,6,0.7233609454449493
SPARK-30658,239,6,4,0.8868595071429147
SPARK-2889,238,29,23,0.865881450829553
SPARK-17793,237,5,3,0.920619835714305
SPARK-24137,237,8,8,1
SPARK-5203,236,5,5,0.8106041864683591
SPARK-31113,235,17,13,0.8900114693193131
SPARK-10323,235,8,6,0.9230714907622706
SPARK-20198,235,8,6,0.8319710647701455
SPARK-13600,234,3,3,0.8453509366224364
SPARK-33206,233,12,6,0.9528195311147831
SPARK-13920,233,3,3,0.4305518670104394
SPARK-18621,233,12,8,0.8553213502671448
SPARK-22465,229,4,4,0
SPARK-27416,229,8,4,0.9211854965885542
SPARK-20311,228,6,5,0.6840384356390417
SPARK-19601,227,8,8,0.9422632627633013
SPARK-11316,227,3,3,0.9182958340544896
SPARK-13048,226,9,8,0.6043034778407833
SPARK-29082,226,4,4,0
SPARK-22916,225,4,4,0.625418115623811
SPARK-31557,225,5,3,0.9854752972273344
SPARK-17034,225,9,4,0.3095434291503252
SPARK-4737,224,10,6,0.9337851376692218
SPARK-19968,224,6,3,0
SPARK-23425,224,3,3,1
SPARK-4785,223,6,5,0.9629107058841422
SPARK-6055,223,5,2,0.9499726555992944
SPARK-18588,223,8,5,0.5883087834948495
SPARK-16542,222,5,4,0.5478948105177535
SPARK-14763,222,8,6,0.64556722222007
SPARK-24717,221,5,4,0.2863969571159562
SPARK-30808,221,8,6,0.7862726303536168
SPARK-19459,220,8,7,0.9620871761502207
SPARK-29644,220,6,4,0.8787419949064401
SPARK-2849,219,7,4,0.7926483502303352
SPARK-14013,219,13,8,0.8684850423211499
SPARK-22933,219,7,5,0.9431887805255735
SPARK-26021,218,12,7,0.9463946303571861
SPARK-15317,218,12,10,0.9290536828949347
SPARK-2307,218,7,5,0.942631203937882
SPARK-19178,218,4,4,0.9999999999999999
SPARK-19765,217,10,9,0.9016622852575557
SPARK-2650,217,13,8,0.8773294237760692
SPARK-17309,217,4,4,0.7998739500319952
SPARK-31670,217,3,3,0.7642045065086203
SPARK-17323,217,4,4,0.7998739500319952
SPARK-18549,217,10,9,0.9016622852575557
SPARK-17180,217,4,4,0.7998739500319952
SPARK-2534,217,4,3,0.9965119062478288
SPARK-3688,216,7,6,0.8942252286541447
SPARK-18796,216,5,4,0.801065722091429
SPARK-33551,216,8,4,0.692180173494634
SPARK-35602,216,4,3,0
SPARK-17541,216,11,11,0.8935364338162904
SPARK-12218,215,6,5,0.2580186686648155
SPARK-13669,215,8,4,0.7442626474488743
SPARK-20898,215,8,4,0.7442626474488743
SPARK-12591,215,6,6,0.7696773193335846
SPARK-24165,215,6,5,0.7854752972273343
SPARK-19276,215,8,7,0.9315602842833155
SPARK-22036,215,8,7,0.7112577973139332
SPARK-25714,214,5,5,0.9463946303571861
SPARK-16905,214,7,5,0.9488875215617707
SPARK-5680,214,6,5,0.9769341444930971
SPARK-19220,214,6,4,0.8112781244591328
SPARK-10441,213,10,5,0.9158531470312455
SPARK-4495,213,3,3,0.9852281360342515
SPARK-25534,213,10,8,0.908063094245335
SPARK-7436,212,4,3,0
SPARK-18464,212,20,13,0.8899039344597007
SPARK-14182,212,4,4,0.97288250263637
SPARK-20329,212,18,10,0.7480235146918692
SPARK-7847,212,5,4,0.9014155188764923
SPARK-3960,210,4,4,0.920619835714305
SPARK-3959,210,4,4,0.920619835714305
SPARK-1786,209,14,6,0.9606293157795307
SPARK-15865,209,10,4,0.8316613085707212
SPARK-31221,209,5,5,0.8091627642047035
SPARK-5009,209,9,6,0.8352002914705073
SPARK-5038,209,9,6,0.8410014008830665
SPARK-24699,208,6,4,0.947730922119161
SPARK-26713,208,5,5,0.9182958340544896
SPARK-7673,208,5,4,0.7989297748085202
SPARK-3036,207,5,3,0.9693122692797389
SPARK-10622,207,8,5,0.8765322321803067
SPARK-3037,207,5,3,0.9693122692797388
SPARK-30345,207,4,2,0.4689955935892812
SPARK-7780,207,7,7,0.8322488896002307
