Key,CommentCount,CommentLength,CommentPeopleCount
MESOS-6813,3,423,2
MESOS-6815,7,2933,2
MESOS-6839,3,3627,3
MESOS-6843,6,1261,6
MESOS-6853,1,72,1
MESOS-6864,2,2251,2
MESOS-6874,1,247,1
MESOS-6904,5,3455,3
MESOS-6912,4,887,3
MESOS-6913,7,92158,6
MESOS-6937,3,1704,2
MESOS-6948,6,166525,4
MESOS-6950,6,1056,3
MESOS-6974,5,3603,5
MESOS-6986,8,868,4
MESOS-6989,7,1991,4
MESOS-7008,4,1203,3
MESOS-7017,4,3292,3
MESOS-7027,6,7819,2
MESOS-7036,6,12581,5
MESOS-7060,8,3984,3
MESOS-7075,3,637,2
MESOS-7076,20,8288,6
MESOS-7077,5,1575,3
MESOS-7082,5,908,4
MESOS-7157,3,357,2
MESOS-7208,2,1754,2
MESOS-7210,17,2937,6
MESOS-7215,15,4328,7
MESOS-7251,1,1257,1
MESOS-7272,5,1323,4
MESOS-7280,14,2796,6
MESOS-7281,4,1160,3
MESOS-730,1,87,1
MESOS-731,3,959,2
MESOS-7323,2,875,1
MESOS-7346,7,1257,5
MESOS-7350,4,715,2
MESOS-7362,1,103,1
MESOS-7363,2,823,2
MESOS-7366,6,3790,2
MESOS-7374,7,1630,6
MESOS-7378,8,3206,3
MESOS-7381,7,814,4
MESOS-7386,6,2208,4
MESOS-7389,15,5405,6
MESOS-7400,4,2236,2
MESOS-7402,9,2577,5
MESOS-7431,4,776,4
MESOS-7437,1,0,1
MESOS-7464,5,2555,2
MESOS-7466,2,142,1
MESOS-7471,2,922,2
MESOS-7521,3,4334,1
MESOS-7546,6,803,3
MESOS-7564,6,6542,3
MESOS-7565,1,204,1
MESOS-757,2,722,2
MESOS-7587,6,2151,3
MESOS-7622,3,962,3
MESOS-7652,6,1354,4
MESOS-7689,2,1004,2
MESOS-7690,1,719,1
MESOS-7692,12,5143,3
MESOS-7705,6,302,5
MESOS-7714,13,3761,3
MESOS-7744,9,14549,5
MESOS-7745,1,0,1
MESOS-7748,5,7877,2
MESOS-776,5,1155,2
MESOS-7772,2,266,1
MESOS-7777,5,947,3
MESOS-7781,3,2463,1
MESOS-7783,5,2249,2
MESOS-7796,5,1337,3
MESOS-7803,2,449,1
MESOS-7850,1,0,1
MESOS-7863,3,1752,1
MESOS-7865,3,1455,1
MESOS-7869,2,1200,1
MESOS-7908,5,2318,4
MESOS-791,8,2089,5
MESOS-7912,3,701,3
MESOS-7921,13,15232,3
MESOS-7922,2,718,1
MESOS-7939,4,1381,2
MESOS-7942,8,4914,3
MESOS-7966,18,11726,10
MESOS-7971,10,138706,7
MESOS-7991,5,6738,4
MESOS-7995,6,2416,4
MESOS-8004,3,203,3
MESOS-8038,23,17047,8
MESOS-8069,4,773,2
MESOS-8096,8,42169,5
MESOS-8125,8,4896,3
MESOS-8128,8,2067,5
MESOS-8137,3,274,2
MESOS-8159,4,2437,2
MESOS-8161,3,1807,3
MESOS-8180,3,2036,1
MESOS-8200,5,1096,2
MESOS-8257,8,2077,6
MESOS-8278,5,301,4
MESOS-8293,2,1352,2
MESOS-8308,4,753,3
MESOS-8337,4,1504,3
MESOS-8356,3,1166,1
MESOS-8391,8,3381,4
MESOS-8410,4,624,2
MESOS-8411,5,4152,3
MESOS-8416,4,2693,2
MESOS-8422,4,4035,3
MESOS-8457,6,1750,2
MESOS-8467,4,1302,1
MESOS-8468,3,3793,2
MESOS-8469,4,1589,1
MESOS-8481,2,355,2
MESOS-8497,5,1722,4
MESOS-8499,3,1791,1
MESOS-8522,6,779,4
MESOS-8530,3,5587,2
MESOS-8567,7,2263,2
