Key,CommentCount,CommentLength,CommentPeopleCount
HBASE-10422,12,8659,5
HBASE-10426,16,5364,8
HBASE-10428,11,4698,7
HBASE-10429,11,8137,5
HBASE-10431,21,38694,7
HBASE-10432,38,24509,8
HBASE-10433,9,5260,5
HBASE-10434,12,8940,7
HBASE-10435,10,4753,5
HBASE-10436,29,37986,7
HBASE-1044,2,331,1
HBASE-10441,5,611,4
HBASE-10442,16,5492,6
HBASE-10444,5,4288,2
HBASE-10446,7,4175,5
HBASE-10448,22,7467,7
HBASE-10449,32,15746,7
HBASE-1045,19,9188,3
HBASE-10451,41,41140,7
HBASE-10452,21,18096,8
HBASE-10453,6,1892,4
HBASE-10455,11,14601,6
HBASE-10456,11,7085,6
HBASE-10458,7,1246,6
HBASE-10459,6,3435,5
HBASE-10460,16,6811,7
HBASE-10464,2,312,1
HBASE-10466,8,6171,3
HBASE-10467,28,7002,7
HBASE-10469,15,2436,5
HBASE-1047,4,459,2
HBASE-10470,19,6729,6
HBASE-10472,11,13546,4
HBASE-10474,1,32,1
HBASE-10476,30,20730,7
HBASE-10477,9,4333,6
HBASE-10478,7,3560,6
HBASE-1048,3,5783,1
HBASE-10481,15,7227,4
HBASE-10482,20,7927,6
HBASE-10485,50,18216,7
HBASE-10486,17,8977,6
HBASE-10488,18,5558,6
HBASE-10489,10,2012,3
HBASE-10490,34,20685,7
HBASE-10492,7,14072,4
HBASE-10494,4,1544,4
HBASE-10495,11,5023,5
HBASE-10499,84,69119,12
HBASE-105,3,1303,3
HBASE-10500,18,15165,6
HBASE-10505,22,3841,7
HBASE-10506,19,6723,8
HBASE-10508,7,2355,2
HBASE-10509,10,4896,4
HBASE-10510,10,4250,7
HBASE-10516,26,18987,6
HBASE-1052,8,937,2
HBASE-10525,37,39186,6
HBASE-10527,22,10641,6
HBASE-10528,46,16474,8
HBASE-10533,27,16809,7
HBASE-10534,15,5889,7
HBASE-10536,29,22266,12
HBASE-10537,16,12533,4
HBASE-10539,27,7477,9
HBASE-1054,3,647,2
HBASE-10540,2,253,2
HBASE-10542,1,30,1
HBASE-10545,16,7052,4
HBASE-10546,16,4298,3
HBASE-10551,11,1846,4
HBASE-10552,19,3726,4
HBASE-10555,7,2469,3
HBASE-10556,14,5420,6
HBASE-10557,7,1937,3
HBASE-1056,1,112,1
HBASE-10562,12,1854,4
HBASE-10563,16,6421,7
HBASE-10564,11,4921,7
HBASE-10565,5,741,3
HBASE-10566,34,25684,7
HBASE-10567,17,10690,7
HBASE-10571,5,1219,4
HBASE-10575,25,8809,6
HBASE-10577,4,722,3
HBASE-10578,6,1531,4
HBASE-10579,9,1747,4
HBASE-10580,12,4981,5
HBASE-10582,19,9904,6
HBASE-10583,8,2327,4
HBASE-10585,11,4596,7
HBASE-10586,9,4871,4
HBASE-1059,2,1587,1
HBASE-10593,11,3674,6
HBASE-10594,45,13770,4
HBASE-106,8,11641,3
HBASE-1060,2,341,2
HBASE-10604,12,4919,5
HBASE-10606,16,15278,6
HBASE-10608,27,12926,8
HBASE-1061,4,2422,3
HBASE-10611,22,9011,7
HBASE-10614,11,3916,2
HBASE-10617,10,2194,5
HBASE-10618,9,4838,6
HBASE-10619,45,26585,10
HBASE-10621,12,4218,6
HBASE-10622,27,26819,5
HBASE-10624,31,16706,6
HBASE-10625,26,10196,6
HBASE-10626,2,476,2
HBASE-10627,19,6119,7
HBASE-10628,1,0,1
HBASE-10629,1,0,1
HBASE-1063,1,0,1
HBASE-10631,13,5668,4
HBASE-10632,16,7729,6
HBASE-10637,14,5405,6
HBASE-10639,19,3496,5
HBASE-10642,50,12390,6
HBASE-10643,12,2712,5
HBASE-10644,12,5677,5
HBASE-10653,16,7874,7
HBASE-10654,1,0,1
HBASE-10656,41,28377,9
HBASE-10657,1,0,1
HBASE-10660,30,12409,7
HBASE-10662,13,6904,7
HBASE-10664,3,739,2
HBASE-10665,15,7231,6
HBASE-10667,4,333,3
HBASE-10668,4,275,3
HBASE-10669,18,7463,5
HBASE-1067,1,127,1
HBASE-10673,2,210,2
HBASE-10675,28,16642,7
HBASE-10677,16,11479,6
HBASE-10679,24,14849,7
HBASE-1068,1,0,1
HBASE-10682,15,6097,5
HBASE-10683,1,0,1
HBASE-10684,1,126,1
HBASE-10685,9,4177,4
HBASE-10686,10,4492,4
HBASE-10687,10,5075,6
HBASE-10692,30,8748,7
HBASE-10694,8,4398,5
HBASE-107,5,2085,2
HBASE-10702,11,7052,2
HBASE-10705,11,7012,7
HBASE-10706,21,14932,7
HBASE-10708,2,976,2
HBASE-10710,4,821,2
HBASE-10712,11,3545,4
HBASE-10714,17,10244,6
HBASE-10715,11,5266,4
HBASE-10716,17,4302,4
HBASE-10718,29,15558,8
HBASE-1072,1,51,1
HBASE-10720,6,3662,5
HBASE-10722,10,2680,4
HBASE-10726,13,6088,5
HBASE-10727,1,0,1
HBASE-10728,35,19576,8
HBASE-1073,5,22016,2
HBASE-10731,13,3686,3
HBASE-10732,3,562,2
HBASE-10733,7,1076,4
HBASE-10735,9,1444,2
HBASE-10737,10,6464,5
HBASE-10738,16,6171,5
HBASE-10739,14,13997,5
HBASE-1074,2,1519,1
HBASE-10745,13,6167,4
HBASE-10747,1,0,1
HBASE-10748,15,8182,7
HBASE-10749,17,5680,8
HBASE-10751,18,4695,3
HBASE-10753,1,2,1
HBASE-10755,9,4612,5
HBASE-10760,16,7227,6
HBASE-10761,12,6438,7
HBASE-10762,14,5861,7
HBASE-10763,8,2015,6
HBASE-10766,16,10480,4
HBASE-1077,2,117,1
HBASE-10770,11,4876,6
HBASE-10776,6,754,6
HBASE-10777,3,212,2
HBASE-1078,5,9537,2
HBASE-10780,22,16420,6
HBASE-10783,8,1226,3
HBASE-1079,2,368,1
HBASE-10792,13,7645,7
HBASE-10793,13,5006,7
HBASE-10799,8,4339,4
HBASE-1080,5,4537,2
HBASE-10802,17,3255,6
HBASE-10803,4,3709,3
HBASE-10804,10,4663,5
HBASE-10805,15,5704,5
HBASE-10807,14,4695,4
HBASE-10808,1,126,1
HBASE-10809,15,12235,6
HBASE-1081,5,375,2
HBASE-10814,10,6894,7
HBASE-10816,1,56,1
HBASE-10820,2,381,2
HBASE-10825,8,4672,4
HBASE-10826,1,201,1
HBASE-10829,18,16289,6
HBASE-1083,4,8046,1
HBASE-10830,44,31905,6
HBASE-10831,30,13476,6
HBASE-10832,1,29,1
HBASE-10833,9,1614,5
HBASE-10834,21,5812,5
HBASE-10838,10,7356,6
HBASE-10839,10,6916,6
HBASE-10840,7,6405,5
HBASE-10843,4,669,3
HBASE-10844,43,15755,9
HBASE-10845,42,21155,8
HBASE-10846,10,3908,5
HBASE-10847,32,9184,5
HBASE-10848,29,20990,8
HBASE-10849,10,4594,6
HBASE-10853,11,1654,4
HBASE-10854,25,13418,6
HBASE-10857,5,221,3
HBASE-1086,1,220,1
HBASE-10862,9,4390,5
HBASE-10863,13,3448,7
HBASE-10869,1,126,1
HBASE-1087,5,2180,2
HBASE-10872,1,31,1
HBASE-10875,1,95,1
HBASE-10876,1,95,1
HBASE-10878,5,1490,4
HBASE-10879,15,14581,8
HBASE-10882,4,647,4
HBASE-10890,20,9868,6
HBASE-10893,11,737,5
HBASE-10895,15,9215,6
HBASE-10897,23,11963,6
HBASE-10899,13,7643,7
HBASE-109,6,4482,4
HBASE-10901,1,126,1
HBASE-10903,22,9677,7
HBASE-10904,1,95,1
HBASE-10907,1,0,1
HBASE-10908,5,901,4
HBASE-1091,4,651,2
HBASE-10913,1,55,1
HBASE-10914,1,0,1
HBASE-10917,6,3546,4
HBASE-1092,11,6257,2
HBASE-10920,2,233,2
HBASE-10924,14,3515,4
HBASE-1093,2,573,1
HBASE-10937,1,182,1
HBASE-1094,17,48106,4
HBASE-10941,9,1286,5
HBASE-10946,1,31,1
HBASE-10948,32,16923,7
HBASE-10954,10,3749,5
HBASE-10955,12,6730,7
HBASE-10958,54,33398,8
HBASE-10964,16,5719,8
HBASE-10966,15,6521,7
HBASE-10967,13,6306,5
HBASE-1097,6,505,2
HBASE-10970,32,12200,7
HBASE-10976,7,3854,5
HBASE-10977,3,210870,1
HBASE-10978,2,120,1
HBASE-10979,11,5737,6
HBASE-10986,1,0,1
HBASE-1099,6,3727,2
HBASE-10990,1,31,1
HBASE-10991,4,1212,1
HBASE-10992,1,0,1
HBASE-10995,9,5518,6
HBASE-10998,2,213,2
HBASE-11,7,788,2
HBASE-1100,1,652,1
HBASE-11003,6,2047,3
HBASE-11005,4,3294,4
HBASE-11006,19,10955,7
HBASE-11009,10,6670,6
HBASE-1101,13,6047,4
HBASE-11011,15,10009,6
HBASE-11015,6,2612,4
HBASE-11018,6,3215,5
HBASE-11021,1,126,1
HBASE-11028,7,4272,6
HBASE-1103,2,477,2
