Key,CommentCount,CommentLength,CommentPeopleCount
HADOOP-10342,14,5001,5
HADOOP-10344,3,180,2
HADOOP-10347,2,102,2
HADOOP-10349,1,0,1
HADOOP-1035,22,4107,5
HADOOP-10350,13,6295,5
HADOOP-10352,12,4911,5
HADOOP-10353,11,6730,4
HADOOP-10354,20,13407,6
HADOOP-10355,8,3339,4
HADOOP-10356,13,8319,4
HADOOP-10357,14,7174,2
HADOOP-1036,5,1285,4
HADOOP-10362,5,2666,3
HADOOP-10363,5,2746,3
HADOOP-10364,13,15084,4
HADOOP-10365,38,23549,6
HADOOP-10367,2,131,2
HADOOP-10368,11,5101,5
HADOOP-10369,1,35,1
HADOOP-1037,1,74,1
HADOOP-10370,1,36,1
HADOOP-10375,4,610,2
HADOOP-10378,11,5471,4
HADOOP-10382,3,101,2
HADOOP-10387,22,8653,6
HADOOP-1039,4,911,3
HADOOP-10390,33,11772,5
HADOOP-10391,9,2670,4
HADOOP-10394,13,5718,4
HADOOP-10396,1,239,1
HADOOP-10397,5,1781,3
HADOOP-10398,64,20793,8
HADOOP-104,1,625,1
HADOOP-10401,10,4815,5
HADOOP-10402,9,5320,4
HADOOP-10403,3,238,2
HADOOP-10404,27,11479,7
HADOOP-10406,23,19714,7
HADOOP-10408,2,1444,2
HADOOP-10411,1,0,1
HADOOP-10412,1,1169,1
HADOOP-10414,9,3360,5
HADOOP-10416,28,9716,7
HADOOP-10417,2,312,2
HADOOP-10418,10,4145,6
HADOOP-10419,1,55,1
HADOOP-10425,11,4693,4
HADOOP-10436,7,4007,4
HADOOP-10438,1,32,1
HADOOP-1044,6,1323,4
HADOOP-10440,8,3519,4
HADOOP-10442,12,6671,6
HADOOP-10450,9,4644,4
HADOOP-10455,8,3295,4
HADOOP-10456,12,4519,5
HADOOP-10457,4,1929,2
HADOOP-10459,19,18407,4
HADOOP-1046,7,1802,5
HADOOP-10460,4,2021,2
HADOOP-10461,8,1263,2
HADOOP-10462,16,9620,4
HADOOP-1047,4,593,2
HADOOP-10472,4,2121,4
HADOOP-10473,13,5542,5
HADOOP-10475,22,9219,6
HADOOP-1048,8,1527,3
HADOOP-10483,3,699,2
HADOOP-10487,3,1013,2
HADOOP-10488,8,3190,4
HADOOP-10489,12,6030,5
HADOOP-1049,6,2302,5
HADOOP-10490,11,6512,4
HADOOP-10492,5,1102,4
HADOOP-10493,1,110,1
HADOOP-10495,8,3418,4
HADOOP-10496,8,5469,4
HADOOP-1050,11,2336,4
HADOOP-10500,10,5399,4
HADOOP-10501,3,316,2
HADOOP-10506,9,8580,5
HADOOP-10507,23,11522,5
HADOOP-10508,15,8312,4
HADOOP-10510,10,16042,7
HADOOP-10511,21,15310,6
HADOOP-10513,1,344,1
HADOOP-10516,1,70,1
HADOOP-10517,21,7813,5
HADOOP-10518,7,2465,3
HADOOP-1052,4,1185,2
HADOOP-10522,15,9021,6
HADOOP-10523,12,7155,4
HADOOP-10524,1,0,1
HADOOP-10526,10,5477,4
HADOOP-10527,17,14524,4
HADOOP-10531,12,5878,4
HADOOP-10534,7,4060,3
HADOOP-10537,1,0,1
HADOOP-10538,4,3099,3
HADOOP-10540,23,10561,6
HADOOP-10541,20,10583,5
HADOOP-10542,15,7618,5
HADOOP-10543,9,4008,4
HADOOP-10545,3,947,2
HADOOP-10547,9,5397,5
HADOOP-1055,1,0,1
HADOOP-10550,4,1243,2
HADOOP-10552,9,3765,5
HADOOP-10554,1,323,1
HADOOP-10558,5,3002,3
HADOOP-1056,4,562,4
HADOOP-10562,30,14635,5
HADOOP-10568,13,7481,4
HADOOP-1057,1,118,1
HADOOP-10570,3,3525,2
HADOOP-10571,43,65768,10
HADOOP-1058,2,214,1
HADOOP-10581,13,7541,5
HADOOP-10582,14,7392,4
HADOOP-10583,15,7153,4
HADOOP-10585,7,3822,4
HADOOP-10586,17,7833,4
HADOOP-10588,8,1195,4
HADOOP-10589,10,9168,2
HADOOP-10590,19,8600,5
HADOOP-10591,18,12960,7
HADOOP-10596,12,5680,4
HADOOP-10600,1,0,1
HADOOP-10601,1,0,1
HADOOP-10602,16,21687,4
HADOOP-10606,1,0,1
HADOOP-10609,13,4619,7
HADOOP-1061,18,5972,4
HADOOP-10611,14,6148,5
HADOOP-10612,17,6051,5
HADOOP-10613,2,1351,2
HADOOP-10615,21,12935,6
HADOOP-10622,14,12837,4
HADOOP-10625,20,8361,6
HADOOP-1063,3,334,3
HADOOP-10630,11,4233,5
HADOOP-10638,14,7590,4
HADOOP-10639,8,4092,4
HADOOP-1064,4,256,3
HADOOP-10644,2,511,1
HADOOP-10645,7,1979,3
HADOOP-10646,5,1042,3
HADOOP-10647,7,2125,4
HADOOP-10655,1,0,1
HADOOP-10656,13,7740,4
HADOOP-10657,10,5196,4
HADOOP-10658,8,4569,4
HADOOP-10660,53,31290,7
HADOOP-10661,15,3640,3
HADOOP-10663,13,7248,4
HADOOP-10664,15,4841,6
HADOOP-10669,1,0,1
HADOOP-1067,5,903,3
HADOOP-10673,19,12388,6
HADOOP-10676,1,39,1
HADOOP-10677,2,79,1
HADOOP-10678,11,5957,4
HADOOP-10681,18,13524,5
HADOOP-10682,3,1674,2
HADOOP-10683,13,5874,6
HADOOP-10686,17,11164,5
HADOOP-10689,8,3992,3
HADOOP-10690,12,5885,4
HADOOP-10692,5,1701,2
HADOOP-10694,13,12860,4
HADOOP-10699,24,13908,10
HADOOP-107,5,2002,3
HADOOP-10701,16,12301,6
HADOOP-10702,7,3946,4
HADOOP-10703,31,11697,9
HADOOP-10704,2,112,1
HADOOP-1071,2,624,2
HADOOP-10710,44,18416,8
HADOOP-10711,15,6333,5
HADOOP-10714,57,48544,8
HADOOP-10716,10,3612,5
HADOOP-10718,4,1371,3
HADOOP-10721,1,0,1
HADOOP-10722,6,2089,3
HADOOP-10723,1,0,1
HADOOP-10724,10,3133,5
HADOOP-1073,18,3556,6
HADOOP-10732,17,8025,6
HADOOP-10733,11,5438,6
HADOOP-10737,3,281,2
HADOOP-10738,26,16707,9
HADOOP-10739,14,9028,4
HADOOP-1074,1,53,1
HADOOP-10742,2,319,2
HADOOP-10743,2,101,2
HADOOP-10744,20,7543,4
HADOOP-10746,12,6098,4
HADOOP-10748,4,1657,3
HADOOP-10749,1,0,1
HADOOP-1075,3,629,3
HADOOP-1076,10,4827,4
HADOOP-10762,1,0,1
HADOOP-10764,3,627,2
HADOOP-10765,1,200,1
HADOOP-10766,1,13,1
HADOOP-10773,1,80,1
HADOOP-10774,13,5737,4
HADOOP-10777,2,301,2
HADOOP-10780,8,2790,3
HADOOP-10781,20,7136,4
HADOOP-10783,33,16158,8
HADOOP-10789,3,1386,2
HADOOP-10790,1,27,1
HADOOP-10795,2,823,2
HADOOP-10796,1,16,1
HADOOP-10798,25,18260,7
HADOOP-108,3,297,2
HADOOP-1080,3,330,1
HADOOP-10801,7,1339,4
HADOOP-10804,4,403,1
HADOOP-10807,2,436,2
HADOOP-1081,5,470,3
HADOOP-10810,12,13270,4
HADOOP-10814,6,2860,3
HADOOP-10816,15,9107,5
HADOOP-10819,4,725,3
HADOOP-1082,1,40,1
HADOOP-10820,32,14519,7
HADOOP-10823,23,36049,5
HADOOP-10829,24,21508,9
HADOOP-1083,4,445,4
HADOOP-10830,17,7814,6
HADOOP-10831,10,4563,5
HADOOP-10837,2,151,2
HADOOP-10840,17,14013,4
HADOOP-10842,11,5774,4
HADOOP-10843,13,4295,4
HADOOP-10844,1,102,1
HADOOP-10850,16,9970,6
HADOOP-10851,11,5001,4
HADOOP-10852,18,11255,4
HADOOP-10856,2,438,2
HADOOP-10857,10,4102,5
HADOOP-1086,4,406,2
HADOOP-10862,13,9483,4
HADOOP-10866,33,17999,5
HADOOP-10867,6,7212,5
HADOOP-10869,3,532,2
HADOOP-1087,3,1830,2
HADOOP-10872,13,7787,4
HADOOP-10873,4,1808,1
HADOOP-10875,1,14,1
HADOOP-10876,22,11000,5
HADOOP-10878,1,122,1
HADOOP-1088,3,86,2
HADOOP-10880,31,17294,5
HADOOP-10887,12,8380,4
HADOOP-10888,18,9572,3
HADOOP-10889,2,715,2
HADOOP-1089,7,2403,4
HADOOP-10890,24,15790,4
HADOOP-10892,4,1756,4
HADOOP-10897,2,1924,2
HADOOP-10898,5,1976,2
HADOOP-10899,7,712,3
HADOOP-109,1,39,1
HADOOP-1090,3,155,3
HADOOP-10900,8,3859,4
HADOOP-10904,14,3131,6
HADOOP-10906,1,0,1
HADOOP-10907,5,373,3
HADOOP-10908,21,13094,5
HADOOP-1091,5,513,3
HADOOP-10910,8,1740,4
HADOOP-10911,22,11670,6
HADOOP-10915,2,288,1
HADOOP-10918,11,7169,4
HADOOP-10919,27,16583,3
HADOOP-1092,5,777,3
HADOOP-10920,10,3372,5
HADOOP-10921,1,0,1
HADOOP-10925,19,5543,7
HADOOP-10927,22,8946,6
HADOOP-10928,9,3941,4
HADOOP-10929,9,3685,4
HADOOP-10930,11,24700,5
HADOOP-10931,7,3397,4
HADOOP-10932,1,150,1
HADOOP-10934,1,61,1
HADOOP-10937,12,7112,4
HADOOP-10938,2,425,2
HADOOP-10939,10,3959,4
HADOOP-10941,23,17525,6
HADOOP-10942,14,7953,5
HADOOP-10944,2,370,2
HADOOP-10945,17,10446,5
HADOOP-10946,48,9241,8
HADOOP-10947,1,80,1
HADOOP-10948,8,5983,5
HADOOP-10953,12,7103,3
HADOOP-10956,27,14231,4
HADOOP-10958,2,358,1
HADOOP-10960,2,1086,2
HADOOP-10961,3,548,2
HADOOP-10962,8,3785,5
HADOOP-10963,2,143,2
HADOOP-10964,8,3676,4
HADOOP-10966,11,3861,5
HADOOP-10968,23,12144,5
HADOOP-10969,3,1603,3
HADOOP-10972,9,3323,5
HADOOP-10973,10,4169,4
HADOOP-10977,2,358,2
HADOOP-10978,1,68,1
HADOOP-1098,1,30,1
HADOOP-10988,9,2189,5
HADOOP-10989,13,8704,4
HADOOP-1099,4,229,4
HADOOP-10991,2,435,2
HADOOP-10995,12,9087,4
HADOOP-10996,12,7709,3
HADOOP-10997,1,0,1
HADOOP-10999,2,268,2
HADOOP-110,3,313,2
HADOOP-11000,20,9969,6
HADOOP-11001,15,3135,6
HADOOP-11002,5,799,2
HADOOP-11003,7,1249,3
HADOOP-11004,3,561,3
HADOOP-11005,9,3355,4
HADOOP-11006,1,0,1
HADOOP-11008,15,6096,4
HADOOP-11010,4,610,1
HADOOP-11012,18,13111,6
HADOOP-11014,24,9533,7
HADOOP-11019,1,80,1
HADOOP-1102,1,200,1
HADOOP-11020,1,59,1
HADOOP-11022,11,4553,3
HADOOP-11023,1,53,1
HADOOP-11026,6,1734,3
HADOOP-11029,2,2382,2
HADOOP-11033,12,3175,4
HADOOP-11034,14,9163,5
HADOOP-11035,12,4662,4
HADOOP-11036,7,2493,4
HADOOP-11039,13,5826,4
HADOOP-1104,1,24,1
HADOOP-11040,7,3059,4
HADOOP-11042,11,6130,4
HADOOP-11046,2,105,2
HADOOP-11047,2,498,1
HADOOP-11049,17,9816,4
HADOOP-1105,15,4338,6
HADOOP-11052,9,2823,2
HADOOP-11053,3,181,2
HADOOP-11055,14,5509,5
HADOOP-11056,11,5192,4
HADOOP-11061,1,0,1
HADOOP-11062,29,17282,7
HADOOP-11063,10,3705,4
HADOOP-11064,41,36142,8
HADOOP-11065,9,1918,3
HADOOP-11067,16,4506,5
HADOOP-11069,8,3292,4
HADOOP-1107,2,43,2
HADOOP-11075,7,1739,3
HADOOP-11077,7,2970,4
HADOOP-11078,3,508,2
HADOOP-1108,5,388,3
HADOOP-11082,11,4219,4
HADOOP-11083,8,3474,4
HADOOP-11085,10,2955,5
HADOOP-11086,17,27418,3
HADOOP-11087,1,0,1
HADOOP-1109,8,788,4
HADOOP-11091,9,4144,4
HADOOP-11096,7,4451,4
HADOOP-11097,7,1240,3
HADOOP-11098,26,12094,7
HADOOP-11099,10,3610,5
HADOOP-111,1,30,1
HADOOP-1110,6,1334,4
HADOOP-11102,10,5452,3
HADOOP-11105,11,4583,5
HADOOP-11108,6,3456,3
HADOOP-11109,9,1724,5
HADOOP-11110,12,7556,4
HADOOP-11112,7,2600,4
HADOOP-11113,14,8430,4
HADOOP-11114,1,80,1
HADOOP-11115,1,80,1
HADOOP-11117,16,12619,4
HADOOP-11119,15,8208,4
HADOOP-1112,2,105,2
HADOOP-11120,20,7861,7
HADOOP-11121,1,91,1
HADOOP-11122,27,16775,6
HADOOP-11126,2,143,2
HADOOP-11129,2,95,1
HADOOP-1113,1,139,1
HADOOP-11130,10,6049,5
HADOOP-11131,1,0,1
HADOOP-11132,4,2339,4
HADOOP-11134,13,7069,7
HADOOP-1114,19,6469,4
HADOOP-11140,8,4458,3
HADOOP-11141,1,80,1
HADOOP-11143,8,3203,4
HADOOP-11144,1,68,1
HADOOP-11145,14,5905,4
HADOOP-11149,30,16758,9
HADOOP-1115,4,466,3
HADOOP-11151,33,17917,6
HADOOP-11154,11,4022,5
HADOOP-11155,1,28,1
HADOOP-11156,9,4028,4
HADOOP-11157,38,27905,6
HADOOP-11158,5,1954,4
HADOOP-11160,10,3749,4
HADOOP-11161,20,11390,6
HADOOP-11162,1,120,1
HADOOP-11163,8,4096,4
HADOOP-11166,9,1909,5
HADOOP-11167,8,3499,4
HADOOP-11168,14,6218,4
HADOOP-11169,9,5459,4
HADOOP-11170,27,13453,5
HADOOP-11174,10,4237,4
HADOOP-11175,14,6423,4
HADOOP-11176,16,9291,5
HADOOP-11178,8,3246,4
HADOOP-11179,12,7199,4
HADOOP-1118,6,264,3
HADOOP-11180,11,12359,4
HADOOP-11181,30,24035,6
HADOOP-11182,21,11053,5
HADOOP-11186,7,3447,4
HADOOP-11187,12,16319,5
HADOOP-11189,1,0,1
HADOOP-1119,1,51,1
HADOOP-11190,1,0,1
HADOOP-11191,1,0,1
HADOOP-11192,2,146,2
HADOOP-11193,7,3766,3
HADOOP-11194,14,5044,4
HADOOP-11198,9,3565,5
HADOOP-11199,6,2149,3
HADOOP-112,4,1022,2
HADOOP-11200,7,554,2
HADOOP-11202,6,2614,2
HADOOP-11204,1,0,1
