Key,CommentCount,CommentLength,CommentPeopleCount
MESOS-1206,1,0,1
MESOS-1209,8,1364,4
MESOS-1210,2,148,2
MESOS-1211,1,195,1
MESOS-1214,2,247,1
MESOS-1216,4,1010,4
MESOS-1219,7,2980,3
MESOS-122,1,419,1
MESOS-1220,5,657,2
MESOS-1221,5,1145,3
MESOS-1222,1,285,1
MESOS-1226,2,255,1
MESOS-1227,4,1525,3
MESOS-1229,1,0,1
MESOS-1230,2,498,2
MESOS-1231,3,549,1
MESOS-1232,3,480,2
MESOS-1235,2,288,1
MESOS-1238,4,740,2
MESOS-1239,1,10,1
MESOS-124,1,311,1
MESOS-1241,10,1843,5
MESOS-1242,5,1026,2
MESOS-1244,2,156,1
MESOS-1245,1,51,1
MESOS-1247,1,0,1
MESOS-125,1,188,1
MESOS-1250,8,7530,4
MESOS-1253,6,1408,3
MESOS-1257,21,40352,7
MESOS-1258,6,598,3
MESOS-126,3,3202,1
MESOS-1262,1,54,1
MESOS-1263,7,1062,3
MESOS-1264,4,3594,3
MESOS-1265,2,301,1
MESOS-1266,1,124,1
MESOS-1268,2,443,2
MESOS-127,8,16317,1
MESOS-1271,7,3731,2
MESOS-1273,3,337,2
MESOS-1275,5,1276,3
MESOS-1276,2,277,1
MESOS-1277,3,377,2
MESOS-1279,15,4148,8
MESOS-128,2,763,2
MESOS-1280,3,1381,3
MESOS-1281,1,0,1
MESOS-1288,1,0,1
MESOS-1289,1,0,1
MESOS-129,2,1858,1
MESOS-1292,1,0,1
MESOS-1293,1,0,1
MESOS-1294,1,0,1
MESOS-1295,1,0,1
MESOS-1296,1,0,1
MESOS-1297,1,0,1
MESOS-1298,1,0,1
MESOS-1299,1,0,1
MESOS-130,5,6271,1
MESOS-1300,1,0,1
MESOS-1301,1,0,1
MESOS-1302,1,0,1
MESOS-1303,10,28688,4
MESOS-131,5,5601,1
MESOS-1310,3,749,2
MESOS-1313,2,409,2
MESOS-1318,3,2503,2
MESOS-132,3,4804,1
MESOS-1323,2,262,2
